#   Time (s)     Flux (ppm)    Error (ppm)
 617902.8214      -52.09446      50.66885
 619668.2610     -271.20114      50.66906
 621433.7007     -501.27505      50.67413
 623199.1403     -109.31492      50.67819
 624964.5887      -33.31900      50.67928
 626730.0198     -406.02686      50.68081
 628495.4595     -684.67853      50.66826
 630260.9079     -563.32349      50.66825
 632026.3390     -327.64673      50.67533
 633791.7875     -172.55545      50.67949
 635557.2273     -193.05945      50.68273
 637322.6585     -238.83582      50.67118
 639088.1070     -120.87822      50.67338
 640853.5382       -4.23193      50.67935
 642618.9781       71.76399      50.68287
 644384.4267      351.42899      50.68805
 646149.8580      199.91397      50.68573
 647915.2980       35.40516      50.68204
 649680.7466     -216.90131      50.68142
 651446.1780      -36.83567      50.67910
 653211.6266      110.50701      50.68689
 654977.0667      160.09808      50.68520
 656742.5067      -48.57779      50.68390
 658507.9468     -245.27312      50.67662
 660273.3869     -167.48904      50.68309
 662038.8270       -5.18560      50.68386
 663804.2672     -227.15331      50.66771
 665569.7073     -177.62184      50.68424
 667335.1562     -338.85242      50.67799
 669100.5964     -159.32321      50.68111
 670866.0280       57.69730      50.68197
 672631.4768      -43.63060      50.68016
 674396.9171      -53.22695      50.68340
 676162.3486     -353.63437      50.67310
 677927.7976     -351.25018      50.66790
 679693.2379      -21.51728      50.68389
 681458.6696      181.19812      50.69225
 683224.1186       24.91474      50.68430
 684989.5590     -273.88333      50.67669
 686755.0080     -121.71268      50.68033
 688520.4398      142.81273      50.68753
 690285.8803     -126.12343      50.68217
 692051.3294     -297.90402      50.67820
 693816.7612     -479.34055      50.66906
 695582.2017     -461.22073      50.67720
 697347.6423     -406.44406      50.67449
 699113.0828     -220.23917      50.67279
 700878.5320     -386.89374      50.67503
 702643.9640     -209.27191      50.67261
 704409.4046     -150.74014      50.67662
 706174.8539     -214.51712      50.67519
 707940.2859     -669.47937      50.66855
 709705.7265     -666.61835      50.66999
 711471.1759     -482.55920      50.67496
 713236.6166     -107.94402      50.68239
 715002.0573       74.38660      50.68542
 716767.4981      -71.22755      50.68050
 718532.9388     -334.91849      50.68122
 720298.3796     -529.70648      50.66818
 722063.8204     -184.35716      50.67775
 723829.2613       27.41814      50.68287
 725594.7108      132.79915      50.68335
 727360.1430      140.19012      50.68356
 729125.5839      384.33075      50.69207
 730891.0334      686.76471      50.70240
 732656.4657      816.22601      50.69505
 734421.9153      454.78345      50.69022
 736187.3563      560.64130      50.69823
 737952.7887      767.35022      50.69757
 739718.2383      704.40771      50.69603
 741483.6794      602.00690      50.69218
 743249.1118      762.82025      50.69881
 745014.5615      827.43170      50.69584
 746780.0026      866.17468      50.70078
 748545.4524      722.28906      50.69664
 750310.8849      517.96436      50.68118
 752076.3260      251.53160      50.67769
 753841.7672       48.27976      50.68132
 755607.2084      -74.44620      50.67348
 757372.6496      -70.21427      50.67308
 759138.0909      -37.72974      50.67916
 760903.5321       69.97585      50.68307
 762668.9734      268.93616      50.67926
 764434.4147      478.74451      50.68257
 766199.8560      509.85812      50.68623
 767965.3060      453.23370      50.68694
 769730.7474      432.49130      50.68544
 771496.1801      466.94278      50.68876
 773261.6301      689.50653      50.69393
 775027.0716      895.38098      50.70609
 776792.5044      444.53143      50.69063
 778557.9545       57.93571      50.68194
 780323.3960     -227.68974      50.67350
 782088.8375      141.62064      50.68655
 783854.2790      182.39021      50.68605
 785619.7205      186.68175      50.68888
 787385.1707       20.62321      50.68367
 789150.6037     -114.38132      50.68088
 790916.0453       -5.48363      50.68095
 792681.4956        3.33786      50.68858
 794446.9286     -283.59891      50.67453
 796212.3702     -399.82794      50.67149
 797977.8206     -221.55046      50.67408
 799743.2536      382.18500      50.68626
 801508.7040      452.51846      50.69069
 803274.1458      575.06561      50.69376
 805039.5789      403.40424      50.68935
 806805.0293      337.12387      50.68290
 813866.7881     -243.90221      50.67296
 815632.2386      -51.08118      50.68307
 817397.6805      311.61310      50.68938
 819163.1224       10.96725      50.68096
 820928.5644     -146.09099      50.68133
 822694.0064     -390.29120      50.66639
 824459.4484     -464.14136      50.67821
 826224.8990     -105.79825      50.67413
