#BJD - 2454833   Corrected Flux
2776.723581887   0.997229001  
2776.744013578   0.996992425  
2776.764445268   0.997329392  
2776.784876959   0.997031388  
2776.805308649   0.997514373  
2776.825740339   0.997122311  
2776.846172029   0.997251638  
2776.866603719   0.997444228  
2776.887035409   0.997368930  
2776.907467199   0.997300882  
2776.927898788   0.997168739  
2776.948330578   0.997702631  
2776.968762268   0.997435797  
2776.989193857   0.997081525  
2777.009625646   0.996878918  
2777.030057336   0.997549322  
2777.050488925   0.997156642  
2777.070920714   0.997681448  
2777.091352403   0.997544662  
2777.111783992   0.997409363  
2777.132215781   0.997369334  
2777.152647469   0.997615832  
2777.173079058   0.997378700  
2777.193510847   0.997597215  
2777.213942535   0.997681037  
2777.234374324   0.997448889  
2777.254805912   0.997175435  
2777.275237600   0.997303850  
2777.295669388   0.997355994  
2777.316100976   0.997423664  
2777.336532664   0.997682562  
2777.356964352   0.997772423  
2777.377396140   0.997839532  
2777.397827728   0.997654364  
2777.418259515   0.997534366  
2777.438691103   0.997875341  
2777.459122790   0.997345743  
2777.479554578   0.997883417  
2777.499986165   0.997420150  
2777.520417952   0.997328021  
2777.540849639   0.997731094  
2777.561281226   0.997681672  
2777.581713013   0.997662519  
2777.602144700   0.997558419  
2777.622576287   0.997654519  
2777.643008074   0.997568867  
2777.663439760   0.997185011  
2777.683871347   0.997505401  
2777.704303133   0.997124289  
2777.724734820   0.997626513  
2777.745166606   0.997571350  
2777.765598192   0.997418741  
2777.786029878   0.997612887  
2777.806461664   0.997596075  
2777.826893250   0.997867120  
2777.847324936   0.997755346  
2777.867756722   0.998596395  
2777.888188408   0.997684932  
2777.908619994   0.997808491  
2777.929051779   0.997532593  
2777.949483465   0.997755854  
2777.969915050   0.997852925  
2777.990346836   0.997565230  
2778.010778521   0.997668901  
2778.031210306   0.997605372  
2778.051641891   0.997799672  
2778.072073576   0.998131482  
2778.092505261   0.998213308  
2778.112936946   0.997985316  
2778.133368631   0.997908999  
2778.153800316   0.997716710  
2778.174232000   0.997643163  
2778.194663585   0.997670961  
2778.215095369   0.997628054  
2778.235527054   0.997639909  
2778.255958738   0.998463586  
2778.276390422   0.997740547  
2778.296822107   0.997949301  
2778.317253891   0.997896871  
2778.337685475   0.997719048  
2778.358117159   0.997634072  
2778.378548943   0.997702713  
2778.398980627   0.998094169  
2778.419412210   0.998165635  
2778.439843994   0.998105658  
2778.460275678   0.997971801  
2778.480707261   0.998010112  
2778.501139045   0.998229343  
2778.521570728   0.997968941  
2778.542002311   0.997635405  
2778.562434095   0.997655791  
2778.603297561   0.997876865  
2778.623729144   0.997820963  
2778.644160827   0.997936575  
2778.664592610   0.997756486  
2778.685024192   0.997900316  
2778.705455875   0.997755790  
2778.725887658   0.998257362  
2778.746319241   0.997852941  
2778.766750923   0.997674776  
2778.787182705   0.997876912  
2778.807614288   0.997811219  
2778.828045970   0.997752442  
2778.848477652   0.997928703  
2778.868909335   0.998180304  
2778.889341117   0.997962430  
2778.909772699   0.998112833  
2778.930204381   0.998264410  
2778.950636163   0.998054118  
2778.971067844   0.997743814  
2778.991499426   0.998467283  
2779.011931208   0.998149817  
2779.032362890   0.998022849  
2779.052794471   0.997785739  
2779.073226253   0.998180040  
2779.093657934   0.998084854  
2779.114089715   0.998187017  
2779.134521297   0.998268469  
2779.154952978   0.998186144  
2779.175384759   0.998183189  
2779.195816340   0.998106635  
2779.216248021   0.998066957  
2779.236679802   0.998060480  
2779.257111383   0.998187883  
2779.277543064   0.998102440  
2779.297974845   0.998245021  
2779.318406425   0.998339261  
2779.338838106   0.998651986  
2779.359269886   0.998220794  
2779.379701567   0.998470344  
2779.400133247   0.998306549  
2779.420564928   0.998186383  
2779.440996608   0.998418758  
2779.461428288   0.998539458  
2779.481859969   0.998582908  
2779.502291648   0.998468376  
2779.522723329   0.998612658  
2779.543155009   0.998373399  
2779.563586688   0.998546820  
2779.584018368   0.998681319  
2779.604450048   0.998514767  
2779.624881628   0.998568001  
2779.645313408   0.998534488  
2779.665745087   0.998499488  
2779.686176867   0.998440218  
2779.706608446   0.998443236  
2779.727040126   0.998407726  
2779.747471905   0.998518920  
2779.767903484   0.998743768  
2779.788335164   0.998477224  
2779.808766943   0.998229354  
2779.829198522   0.998457892  
2779.849630201   0.998530735  
2779.870061980   0.998855319  
2779.890493559   0.998501015  
2779.910925338   0.999048462  
2779.931357017   0.998836675  
2779.951788696   0.998441357  
2779.972220374   0.998508205  
2779.992652053   0.998658590  
2780.013083732   0.998466899  
2780.033515510   0.998676989  
2780.053947089   0.998620488  
2780.074378767   0.998491699  
2780.094810545   0.998971583  
2780.115242124   0.998427557  
2780.135673802   0.998677818  
2780.156105580   0.998583271  
2780.176537158   0.998828406  
2780.196968936   0.998511379  
2780.217400614   0.998711690  
2780.237832192   0.998868643  
2780.258263970   0.998565646  
2780.278695648   0.998640823  
2780.319559004   0.998684859  
2780.339990581   0.998885164  
2780.360422259   0.998459837  
2780.380854037   0.999012995  
2780.401285614   0.998985292  
2780.421717292   0.998984728  
2780.442149069   0.999069876  
2780.462580747   0.998994538  
2780.483012424   0.998775591  
2780.503444101   0.998453422  
2780.523875778   0.998538086  
2780.585170810   0.998516239  
2780.605602587   0.998563512  
2780.626034164   0.998608435  
2780.646465841   0.998514450  
2780.666897617   0.998882880  
