#   Time (s)     Flux (ppm)    Error (ppm)
1059269.1030      101.92394      53.68483
1061034.5572      310.89783      53.68201
1062800.0114      809.90790      53.69604
1064565.4656      713.70599      53.68933
1066330.9198      518.08356      53.69060
1068096.3740      604.15271      53.69159
1069861.8369      315.30856      53.69098
1071627.2825      290.03619      53.68349
1073392.7455      270.36667      53.68076
1075158.1998      -54.53825      53.66104
1076923.6455     -177.68144      53.67296
1078689.1085      -11.20567      53.67815
1080454.5629      134.11044      53.67475
1082220.0086      109.55334      53.67209
1083985.4717      238.89542      53.67683
1085750.9261      172.13821      53.68419
1087516.3806       67.94930      53.68243
1089281.8351     -118.79205      53.68208
1091047.2896      123.85845      53.67500
1092812.7441       38.62381      53.67491
1094578.1986     -222.62335      53.67766
1096343.6445      -66.22076      53.68822
1098109.1078     -220.00075      53.66985
1099874.5624     -391.24487      53.67176
1101640.0256      -46.37241      53.67737
1103405.4716     -119.20929      53.67122
1105170.9263     -368.95276      53.67379
1106936.3896     -138.75961      53.67681
1108701.8357      276.92319      53.68853
1110467.2904     -124.57371      53.67458
1112232.7538     -344.93207      53.65613
1113998.1999      505.56659      53.69483
1115763.6547      331.75946      53.67528
1117529.1182       38.50460      53.67850
1119294.5730      210.04677      53.68826
1121060.0279      188.58910      53.68059
1122825.4827       42.67693      53.68690
1124590.9376     -196.45691      53.66597
1126356.3926     -104.54655      53.67350
1128121.8475       74.62502      53.67720
1129887.3024      208.49704      53.68036
1131652.7661      -23.00739      53.66619
1133418.2124      155.92575      53.68487
1135183.6761      237.94174      53.67184
1136949.1311      118.61324      53.66914
1138714.5775       36.23962      53.67506
1140480.0413      328.77924      53.68918
1142245.4963      452.87610      53.69251
1144010.9428      177.86026      53.68127
1145776.4066     -106.39429      53.67702
1147541.8531      527.02429      53.68889
1149307.3083      784.87396      53.69279
1151072.7722      472.42642      53.67737
1152838.2187      703.33484      53.69254
1154603.6826     1037.12085      53.71226
1156369.1379       18.95428      53.68115
1158134.5845     -215.82841      53.67548
1159900.0485       32.54414      53.67009
1161665.5038      -70.98914      53.67498
1163430.9592       33.61702      53.68658
1165196.4145      121.83189      53.68533
1166961.8699     -142.27629      53.67452
1168727.3340        2.50340      53.67885
1170492.7807      272.15482      53.69205
1172258.2362      263.09491      53.68835
1174023.7003      -11.50370      53.67833
1175789.1558        0.83447      53.68982
1177554.6027       56.50520      53.68490
1179320.0668      128.62683      53.69052
1181085.5224      106.93073      53.68946
1182850.9693      455.61792      53.69388
1184616.4336      359.41602      53.70404
1186381.8892      389.21832      53.68642
1188147.3535      769.13831      53.69797
1189912.8005      697.97040      53.70103
1191678.2562      332.71313      53.69065
1193443.7205      163.91278      53.67801
1195209.1676       81.65836      53.67167
1196974.6233      -85.65187      53.67721
1200505.5348       61.39278      53.68398
1202270.9993     -100.67224      53.67305
1204036.4465     -460.98233      53.67330
1205801.9023      -62.40606      53.67340
1207567.3668       -7.03335      53.67715
1209332.8141     -168.56194      53.68213
1211098.2700      -79.63181      53.68853
1212863.7345      134.46808      53.68438
1214629.1818      189.90039      53.68631
1216394.6378      311.13623      53.69086
1218160.1024      441.55121      53.69498
1219925.5584      263.81015      53.69542
1221691.0145       -9.00030      53.68235
1223456.4705      201.46370      53.68824
1225221.9266     -276.80396      53.67216
1226987.3827     -562.01221      53.67052
1228752.8388     -145.85257      53.68714
1230518.2949     -190.61566      53.67945
1232283.7597     -547.94550      53.67174
1234049.2072     -617.02728      53.67079
1235814.6721     -302.49356      53.67906
1237580.1283     -498.35443      53.67792
1239345.5759     -550.68732      53.66828
1241111.0408     -229.23947      53.67764
1242876.4971     -325.32214      53.68291
1244641.9447     -142.27629      53.68724
1246407.4097       19.07349      53.68399
1248172.8660      -15.79523      53.68917
1249938.3137      136.13701      53.68628
1251703.7788      -32.60374      53.67966
1253469.2352      -86.96318      53.68560
1255234.6916     -107.34796      53.68923
1257000.1480     -120.52059      53.67937
1258765.6045      -70.98914      53.68195
1260531.0610      252.24686      53.69012
1262296.5175      -49.47186      53.69135
1264061.9740     -243.18695      53.68042
1265827.4305     -258.26694      53.68242
1267592.8871        2.74181      53.68388
1269358.3523     -131.96469      53.68356
1271123.8003      -69.32021      53.67634
1272889.2569      253.91579      53.68828
1274654.7222      384.92679      53.70261
1276420.1789      553.84637      53.69916
1278185.6269      444.29303      53.69240
1279951.0923      413.41782      53.68666
1281716.5490      218.62984      53.68440
1283482.0058      187.99304      53.68166
1285247.4625      272.98926      53.69312
1287012.9193       84.16176      53.68965
1288778.3761     -400.96045      53.68584
1290543.8330     -392.43698      53.67430
1292309.2898     -326.15662      53.68253
1294074.7553      -46.49162      53.67695
1295840.2036     -117.59996      53.68082
1297605.6605      -20.86163      53.67719
1299371.1261      192.64221      53.69454
1301136.5744      111.81831      53.68279
1302902.0400     -343.38235      53.68237
1304667.4970      -56.92244      53.67937
1306432.9454      273.82373      53.69489
1308198.4111     -218.92786      53.67016
1309963.8682     -225.30556      53.67251
1311729.3166      321.14984      53.68456
1313494.7824       90.71827      53.68727
1315260.2395      171.30374      53.68634
1317025.6966      404.47711      53.69059
1318791.1538      139.95171      53.68741
1320556.6023      111.81831      53.69081
1322322.0682      280.85709      53.69383
1324087.5254       88.57250      53.67598
1325852.9827       81.18153      53.68905
1327618.4399      252.72369      53.68500
1329383.8972      246.52481      53.67932
1331149.3545       49.71027      53.68775
1332914.8205      -68.24731      53.67538
1334680.2692     -162.78029      53.67863
1336445.7352      -44.88230      53.67963
1338211.1926       76.41315      53.68284
1339976.6414      285.26782      53.69519
1341742.1074      364.89963      53.69319
1343507.5649     -287.11557      53.67805
1345273.0137     -249.32623      53.68025
1347038.4799      273.46613      53.68665
1348803.9374     -110.68582      53.68042
1350569.4036     -113.72566      53.68373
1352334.8525      233.88863      53.69012
1354100.3101      302.43396      53.69731
1355865.7763     -101.32790      53.67955
1357631.2253      120.04375      53.69090
1359396.6829       27.77576      53.68273
1361162.1492     -487.62561      53.67914
1362927.5983     -599.08630      53.67468
